model,query,relevant_docs,latency
MiniLM,ibu kota NTB,4,0.036184072494506836
MiniLM,gunung tertinggi di NTB,4,0.0038270950317382812
MiniLM,agama mayoritas NTB,3,0.003648996353149414
MiniLM,sejarah pembentukan NTB,2,0.0037200450897216797
MiniLM,jumlah penduduk NTB,4,0.0034940242767333984
MiniLM,Luas wilayah Sulawesi Utara,4,0.0033838748931884766
MiniLM,Berapa jumlah arca di Rupadhatu,4,0.003657102584838867
MiniLM,Berapa populasi NTT tahun 2025,4,0.0038352012634277344
MiniLM,Berapa jumlah sampah harian di Labuan Bajo,4,0.0036520957946777344
MiniLM,Berapa jumlah arca pada baris ketiga Rupadhatu,3,0.0035789012908935547
MiniLM,Berapa panjang Candi Borobudur dalam meter,2,0.0036580562591552734
MiniLM,Berapa luas wilayah NTT,3,0.0034601688385009766
MiniLM,Berapa lebar Danau Toba,2,0.0036509037017822266
MiniLM,Berapa tinggi Candi Borobudur,3,0.0034630298614501953
MiniLM,Berapa lebar Candi Borobudur,3,0.003348112106323242
MiniLM,Berapa penurunan suhu global akibat letusan Toba,1,0.0036211013793945312
MiniLM,Berapa jumlah gunung di Sulawesi Utara,4,0.0034182071685791016
MiniLM,Berapa panjang Danau Toba,2,0.0033211708068847656
MiniLM,Berapa jumlah pulau di Sulawesi Utara,4,0.0032682418823242188
MiniLM,Berapa jumlah arca di Arupadhatu,4,0.0032508373260498047
MiniLM,Berapa kedalaman maksimal Danau Toba,2,0.003294229507446289
MiniLM,Di sisi mana arca Amitabha berada,3,0.0035581588745117188
MiniLM,Kapan NTB dibentuk,0,0.0033860206604003906
MiniLM,Berapa luas wilayah Labuan Bajo,3,0.003305196762084961
MiniLM,Berapa populasi NTB tahun 2024,3,0.0033097267150878906
MiniLM,Apa makna mudra Bhumisparsa,3,0.00331878662109375
MiniLM,Kapan Borobudur dibangun,1,0.00345611572265625
MiniLM,Berapa luas Danau Toba,2,0.0034189224243164062
MiniLM,Berapa VEI letusan Toba,1,0.0033130645751953125
E5,ibu kota NTB,3,0.04788088798522949
E5,gunung tertinggi di NTB,4,0.006860971450805664
E5,agama mayoritas NTB,3,0.0069887638092041016
E5,sejarah pembentukan NTB,2,0.006470918655395508
E5,jumlah penduduk NTB,3,0.0063169002532958984
E5,Luas wilayah Sulawesi Utara,4,0.006312131881713867
E5,Berapa jumlah arca di Rupadhatu,4,0.006659746170043945
E5,Berapa populasi NTT tahun 2025,4,0.006565093994140625
E5,Berapa jumlah sampah harian di Labuan Bajo,4,0.006384134292602539
